sim_cycle,actual_cycle,stress,F,D,Cr,wear_depth,elastic_modulus_GPa,k_sim
0,0,44.91130472140438,2315.0,8.0,0.0062,0.0,197.8,9.669200000000001e-07
1,5255,45.251298003273604,2315.0,8.0,0.0062,0.00018190089027959189,197.8,9.669200000000001e-07
2,10510,45.53384146906113,2315.0,8.0,0.0062,0.0003651788298576785,197.8,9.669200000000001e-07
3,15765,45.750444567213584,2315.0,8.0,0.0062,0.0005496011340514949,197.8,9.669200000000001e-07
4,21020,45.896196128105416,2315.0,8.0,0.0062,0.0007349007295339002,197.8,9.669200000000001e-07
5,26275,45.9700292156463,2315.0,8.0,0.0062,0.000920790651635635,197.8,9.669200000000001e-07
6,31530,45.97477873558796,2315.0,8.0,0.0062,0.001106979614356187,197.8,9.669200000000001e-07
7,36785,45.917028694852895,2315.0,8.0,0.0062,0.0012931878137012625,197.8,9.669200000000001e-07
8,42040,45.80675734617524,2315.0,8.0,0.0062,0.001479162112386169,197.8,9.669200000000001e-07
9,47295,45.65679934839933,2315.0,8.0,0.0062,0.0016646897872951414,197.8,9.669200000000001e-07
10,52550,45.48215393751468,2315.0,8.0,0.0062,0.0018496100985688512,197.8,9.669200000000001e-07
11,57805,45.29917640510687,2315.0,8.0,0.0062,0.0020338230566289274,197.8,9.669200000000001e-07
12,63060,45.124696471832124,2315.0,8.0,0.0062,0.002217294914508267,197.8,9.669200000000001e-07
13,68315,44.97511108463015,2315.0,8.0,0.0062,0.00240006008939553,197.8,9.669200000000001e-07
14,73570,44.86550054521444,2315.0,8.0,0.0062,0.002582219409804201,197.8,9.669200000000001e-07
15,78825,44.808815619582305,2315.0,8.0,0.0062,0.0027639347828631476,197.8,9.669200000000001e-07
16,84080,44.815179451683164,2315.0,8.0,0.0062,0.002945420569217769,197.8,9.669200000000001e-07
17,89335,44.89134191526075,2315.0,8.0,0.0062,0.003126932130524419,197.8,9.669200000000001e-07
18,94590,45.04031581990421,2315.0,8.0,0.0062,0.0033087521669470025,197.8,9.669200000000001e-07
19,99845,45.26121458353502,2315.0,8.0,0.0062,0.003491175581206217,197.8,9.669200000000001e-07
20,105100,45.54930012244931,2315.0,8.0,0.0062,0.003674493685165839,197.8,9.669200000000001e-07
21,110355,45.89623837715238,2315.0,8.0,0.0062,0.003858978600384458,197.8,9.669200000000001e-07
22,115610,46.29054869852244,2315.0,8.0,0.0062,0.00404486869360434,197.8,9.669200000000001e-07
23,120865,46.7182228677808,2315.0,8.0,0.0062,0.004232355832355377,197.8,9.669200000000001e-07
24,126120,47.16348037874274,2315.0,8.0,0.0062,0.00442157514772921,197.8,9.669200000000001e-07
25,131375,47.60961926488862,2315.0,8.0,0.0062,0.004612597856216426,197.8,9.669200000000001e-07
26,136630,48.03991660294909,2315.0,8.0,0.0062,0.004805427527584853,197.8,9.669200000000001e-07
27,141885,48.43853014662403,2315.0,8.0,0.0062,0.005000000000000001,197.8,9.669200000000001e-07
