test_case,model,step_mode,actual_step_cap,native_actual_step,used_actual_step,native_sim_step,used_sim_step,step_capped,pressure_mae,pressure_rmse,pressure_mape,wear_mae_um,predicted_life,true_life,life_abs_error,life_rel_error
Run30.xlsx,FNN,固定250,250.0,435.0,250.0,0.09999996423750002,0.05747124381465519,1,7.1440277099609375,8.045775413513184,0.04086465388536453,0.061404596033793384,23605.14383258754,23723.808846679636,118.66501409209741,0.005001937709876028
Run11.xlsx,FNN,固定250,250.0,326.0,250.0,0.059999942780000204,0.04601222605828237,1,5.808928489685059,6.5669989585876465,0.05400152504444122,0.0376162050534646,24348.30842117797,23918.706127369696,429.60229380827514,0.017960933652539417
Run4.xlsx,FNN,固定250,250.0,326.0,250.0,0.059999942780000204,0.04601222605828237,1,7.155041694641113,8.575631141662598,0.0390617698431015,0.20014397764182337,35388.463308998405,38722.98916828896,3334.525859290552,0.08611230514252921
Run8.xlsx,FNN,固定250,250.0,652.0,250.0,0.059999942780000204,0.023006113029141184,1,4.149659156799316,4.511898517608643,0.04877281188964844,0.026282368421014394,42019.325099410904,41489.80405662315,529.5210427877537,0.012762678803329382
Run30.xlsx,GRU,固定250,250.0,435.0,250.0,0.09999996423750002,0.05747124381465519,1,3.193730592727661,3.401388168334961,0.019741680473089218,0.038996228445606324,23230.90758623141,23723.808846679636,492.9012604482268,0.02077664946778615
Run11.xlsx,GRU,固定250,250.0,326.0,250.0,0.059999942780000204,0.04601222605828237,1,2.2229983806610107,2.656181573867798,0.021450677886605263,0.03052427420591233,23536.073021806234,23918.706127369696,382.63310556346187,0.0159972326063918
Run4.xlsx,GRU,固定250,250.0,326.0,250.0,0.059999942780000204,0.04601222605828237,1,3.0793724060058594,3.2892794609069824,0.0187285877764225,0.03742994743915403,38277.39250026037,38722.98916828896,445.59666802858555,0.011507290051706384
Run8.xlsx,GRU,固定250,250.0,652.0,250.0,0.059999942780000204,0.023006113029141184,1,3.0269694328308105,3.6135826110839844,0.033833097666502,0.034828240207767376,41917.54317863633,41489.80405662315,427.7391220131831,0.010309499688873602
Run30.xlsx,LSTM,固定250,250.0,435.0,250.0,0.09999996423750002,0.05747124381465519,1,7.715461730957031,7.839250087738037,0.04653037339448929,0.09398437980905121,22493.454588004814,23723.808846679636,1230.3542586748226,0.05186158203458219
Run11.xlsx,LSTM,固定250,250.0,326.0,250.0,0.059999942780000204,0.04601222605828237,1,4.738384246826172,4.983297824859619,0.0460246242582798,0.020940855599073174,24187.130413126863,23918.706127369696,268.4242857571662,0.011222358112841802
Run4.xlsx,LSTM,固定250,250.0,326.0,250.0,0.059999942780000204,0.04601222605828237,1,13.690718650817871,13.728896141052246,0.0800894945859909,0.11601561250715595,41223.56374436795,38722.98916828896,2500.574576078994,0.06457596972205765
Run8.xlsx,LSTM,固定250,250.0,652.0,250.0,0.059999942780000204,0.023006113029141184,1,4.748134613037109,5.89147424697876,0.04968125745654106,0.07791879912458409,42650.19240785298,41489.80405662315,1160.388351229827,0.027968036427604932
Run30.xlsx,1D-CNN,固定250,250.0,435.0,250.0,0.09999996423750002,0.05747124381465519,1,8.382734298706055,10.179055213928223,0.0446002259850502,0.1524101685040398,24953.67176568906,23723.808846679636,1229.8629190094252,0.051840871209074664
Run11.xlsx,1D-CNN,固定250,250.0,326.0,250.0,0.059999942780000204,0.04601222605828237,1,1.7353360652923584,2.1071600914001465,0.01758415997028351,0.05011268931774048,23308.848886886863,23918.706127369696,609.8572404828337,0.025497083213250667
Run4.xlsx,1D-CNN,固定250,250.0,326.0,250.0,0.059999942780000204,0.04601222605828237,1,6.7955451011657715,7.7039947509765625,0.037701744586229324,0.1522429354952997,36831.20208126314,38722.98916828896,1891.7870870258193,0.04885436604091097
Run8.xlsx,1D-CNN,固定250,250.0,652.0,250.0,0.059999942780000204,0.023006113029141184,1,4.378992557525635,4.884243011474609,0.056916698813438416,0.09827521378884374,43879.267056941055,41489.80405662315,2389.4630003179045,0.05759157110158651
Run30.xlsx,Transformer,固定250,250.0,435.0,250.0,0.09999996423750002,0.05747124381465519,1,13.39533805847168,14.630672454833984,0.0761864185333252,0.16580512813972953,21863.86465095961,23723.808846679636,1859.9441957200252,0.07839989808299022
Run11.xlsx,Transformer,固定250,250.0,326.0,250.0,0.059999942780000204,0.04601222605828237,1,4.499348163604736,4.766447067260742,0.04736326262354851,0.02339004289022071,24314.676969860546,23918.706127369696,395.97084249084946,0.016554860467044578
Run4.xlsx,Transformer,固定250,250.0,326.0,250.0,0.059999942780000204,0.04601222605828237,1,9.74793529510498,9.799957275390625,0.05702546611428261,0.0596198666169661,39983.025111809424,38722.98916828896,1260.0359435204664,0.03253973855283712
Run8.xlsx,Transformer,固定250,250.0,652.0,250.0,0.059999942780000204,0.023006113029141184,1,4.328477382659912,4.700093746185303,0.05145851522684097,0.08493828655023145,43014.38333148092,41489.80405662315,1524.5792748577733,0.036745877921648074
